"name","lat","long","population"
"Swaziland",-26.5,31.5,1340000
"Sweden",62,15,9840000
"Switzerland",47.00016,8.01427,8400000
"Syria",35,38,18400000
"Tajikistan",39,71,8730000
"Tanzania",-6,35,55600000
"Thailand",15.5,101,68900000
"Timor-Leste",-8.83333,125.75,1270000
"Togo",8.66667,1.08333,7610000
"Tonga",-20,-175,107000
"Trinidad and Tobago",11,-61,1360000
"Tunisia",34,9,11400000
"Turkey",39,35,79500000
"Turkmenistan",39.75,59.66667,5660000
"Uganda",1.25,32.5,41500000
"Ukraine",49,32,44400000
"United Arab Emirates",23.75,54.5,9270000
"United Kingdom",54.75844,-2.69531,65800000
"United States",39.76,-98.5,322000000
"Uruguay",-33,-56,3440000
"Uzbekistan",41.66667,63.83333,31400000
"Vanuatu",-16,167,270000
"Venezuela",8,-66,31600000
"Palestine",31.92157,35.20329,4790000
"Vietnam",16.16667,107.83333,94600000
"Yemen",15.5,47.5,27600000
"Zambia",-14.33333,28.5,16600000
"Zimbabwe",-19,29.75,16200000
"South Sudan",7.5,30,12200000
