"name","region","income","lifeExp"
"Trinidad and Tobago","americas",29600,73.2
"Tunisia","africa",10800,77.5
"Turkey","europe",23700,79.1
"Turkmenistan","asia",15600,70.2
"Uganda","africa",1710,62.3
"Ukraine","europe",7670,72
"United Arab Emirates","asia",67100,76.6
"United Kingdom","europe",38900,80.9
"United States","americas",53300,78.8
"Uruguay","americas",20000,77.3
"Uzbekistan","asia",6040,70.3
"Vanuatu","asia",2860,64
"Venezuela","americas",15000,75.5
"Palestine","asia",2690,71.8
"Vietnam","asia",5960,74.5
"Yemen","asia",2330,66.7
"Zambia","africa",3640,58.8
"Zimbabwe","africa",1860,59.3
"South Sudan","africa",1860,59.7
